kirjastus_orig	kirjastus_standardized	N	min_time	max_time	min_time_st	max_time_st	standardizing_name	manual_verified
!peatus	!peatus	2	2002	2005	2002	2005	!peatus	""
(аренсбург :	(аренсбург :	1	1895	1895	1895	1895	(аренсбург :	""
(гомельский государственный университет)	(гомельский государственный университет)	1	1981	1981	1981	1981	(гомельский государственный университет)	""
.g.kuhs	.g.kuhs	1	1885	1885	1885	1885	.g.kuhs	""
008 ja kunst.ee	008 ja kunst.ee	1	2006	2006	2006	2006	008 ja kunst.ee	""
1 е отд.департамента генерального штаба	1 е отд.департамента генерального штаба	2	1852	1855	1852	1855	1 е отд.департамента генерального штаба	""
1 й ленинградский медицинский институт	1 й ленинградский медицинский институт	4	1965	1986	1965	1986	1 й ленинградский медицинский институт	""
1 й московский медицинский институт	1 й московский медицинский институт	2	1965	1987	1965	1987	1 й московский медицинский институт	""
1.diviisi suurtükiväe juhatus	1.diviisi suurtükiväe juhatus	1	1927	1927	1927	1927	1.diviisi suurtükiväe juhatus	""
1.diviisi suurtükiväe mõõdukomando	1.diviisi suurtükiväe mõõdukomando	1	1925	1925	1925	1925	1.diviisi suurtükiväe mõõdukomando	""
1.jalaväe rügemendi üleajateenijate kogu kirjastus	1.jalaväe rügemendi üleajateenijate kogu kirjastus	1	1933	1933	1933	1933	1.jalaväe rügemendi üleajateenijate kogu kirjastus	""
1.jalaväe rügement	1.jalaväe rügement	2	1930	1935	1930	1935	1.jalaväe rügement	""
1.seli piimaühisus	1.seli piimaühisus	2	1919	1924	1919	1924	1.seli piimaühisus	""
10 10 10 publishing	10 10 10 publishing	1	2016	2016	2016	2016	10 10 10 publishing	""
120.a.juubeli laulupeo toimkond	120.a.juubeli laulupeo toimkond	1	1989	1989	1989	1989	120.a.juubeli laulupeo toimkond	""
1905.aasta selts	1905.aasta selts	2	1930	1934	1930	1934	1905.aasta selts	""
1980.a.tallinna olümpiaregati pressikeskus	1980.a.tallinna olümpiaregati pressikeskus	1	1980	1980	1980	1980	1980.a.tallinna olümpiaregati pressikeskus	""
1министерство здравоохранения эстонской сср	1министерство здравоохранения эстонской сср	1	1973	1973	1973	1973	1министерство здравоохранения эстонской сср	""
2 se diviisi staap	2 se diviisi staap	1	1920	1920	1920	1920	2 se diviisi staap	""
2 е отделение собственной его имп.величества канцелярии	2 е отделение собственной его имп.величества канцелярии	1	1861	1861	1861	1861	2 е отделение собственной его имп.величества канцелярии	""
2 й московский государственный институт им.н.и.пирогова	2 й московский государственный институт им.н.и.пирогова	1	1963	1963	1963	1963	2 й московский государственный институт им.н.и.пирогова	""
2 й отдел собственной императорской канцелярии	2 й отдел собственной императорской канцелярии	1	1846	1846	1846	1846	2 й отдел собственной императорской канцелярии	""
2 ой московский государственный медицинский институт	2 ой московский государственный медицинский институт	1	1987	1987	1987	1987	2 ой московский государственный медицинский институт	""
2 ой отдел собственной имп.канцелярии	2 ой отдел собственной имп.канцелярии	1	1846	1846	1846	1846	2 ой отдел собственной имп.канцелярии	""
2.diviisi staap	2.diviisi staap	1	1935	1935	1935	1935	2.diviisi staap	""
2.diviisi suurtükiväe juhatus	2.diviisi suurtükiväe juhatus	1	1925	1925	1925	1925	2.diviisi suurtükiväe juhatus	""
2.soomusrongide rügemendi ohvitseride kogu	2.soomusrongide rügemendi ohvitseride kogu	1	1926	1926	1926	1926	2.soomusrongide rügemendi ohvitseride kogu	""
20.augusti klubi	20.augusti klubi	10	2008	2018	2008	2018	20.augusti klubi	""
22.territoriaalse laskurkorpuse staap	22.territoriaalse laskurkorpuse staap	3	1940	1940	1940	1940	22.territoriaalse laskurkorpuse staap	""
249.eesti laskurdiviis	249.eesti laskurdiviis	1	1942	1942	1942	1942	249.eesti laskurdiviis	""
3.diviis	3.diviis	4	1927	1933	1927	1933	3.diviis	""
3.suurtükiväe polk ühing	3.suurtükiväe polk ühing	1	1937	1937	1937	1937	3.suurtükiväe polk ühing	""
3.üksiku jalaväepataljoni ohvitseridekogu	3.üksiku jalaväepataljoni ohvitseridekogu	1	1936	1936	1936	1936	3.üksiku jalaväepataljoni ohvitseridekogu	""
30pluss	30pluss	1	2009	2009	2009	2009	30pluss	""
4 й отдел штаба и 2 го сектора политического управления мсбм	4 й отдел штаба и 2 го сектора политического управления мсбм	1	1931	1931	1931	1931	4 й отдел штаба и 2 го сектора политического управления мсбм	""
451 editores	451 editores	1	2010	2010	2010	2010	451 editores	""
4pühi kirjastus	4pühi kirjastus	5	2007	2010	2007	2010	4pühi kirjastus	""
5.jalaväe rügement	5.jalaväe rügement	1	1928	1928	1928	1928	5.jalaväe rügement	""
5.läänemaa laulupeo toimkond	5.läänemaa laulupeo toimkond	1	1934	1934	1934	1934	5.läänemaa laulupeo toimkond	""
5.piiriküti pataljon	5.piiriküti pataljon	1	1920	1920	1920	1920	5.piiriküti pataljon	""
5.rakvere jalaväe polk	5.rakvere jalaväe polk	1	1919	1919	1919	1919	5.rakvere jalaväe polk	""
6.rahvaväe polgu sõjaväelaste ühing	6.rahvaväe polgu sõjaväelaste ühing	1	1938	1938	1938	1938	6.rahvaväe polgu sõjaväelaste ühing	""
7 da päeva adventistide eesti ühisus	7 da päeva adventistide eesti ühisus	1	1934	1934	1934	1934	7 da päeva adventistide eesti ühisus	""
7.jalaväerügemendi ülem	7.jalaväerügemendi ülem	1	1936	1936	1936	1936	7.jalaväerügemendi ülem	""
700 eilučių	700 eilučių	1	2016	2016	2016	2016	700 eilučių	""
9 koma	9 koma	5	2002	2009	2002	2009	9 koma	""
;paranoia	;paranoia	4	2018	2019	2018	2019	;paranoia	""
;paranoia publishing	;paranoia publishing	2	2016	2016	2016	2016	;paranoia publishing	""
?	?	1	1942	1942	1942	1942	?	""
a & l :	a & l :	1	2007	2007	2007	2007	a & l :	""
a disain	a disain	40	2008	2019	2008	2019	a disain	""
a disain :	a disain :	1	2011	2011	2011	2011	a disain :	""
a galerii :	a galerii :	1	2014	2014	2014	2014	a galerii :	""
a koolituskeskus	a koolituskeskus	1	2013	2013	2013	2013	a koolituskeskus	""
a liit	a liit	1	1997	1997	1997	1997	a liit	""
a magyar szovjet baráti társaság hűtőgépgyári tagcsoportja :	a magyar szovjet baráti társaság hűtőgépgyári tagcsoportja :	1	1978	1978	1978	1978	a magyar szovjet baráti társaság hűtőgépgyári tagcsoportja :	""
a meediagrupp	a meediagrupp	11	2012	2014	2012	2014	a meediagrupp	""
a midsummer night's press	a midsummer night's press	1	2014	2014	2014	2014	a midsummer night's press	""
a team	a team	21	1996	1999	1996	1999	a team	""
a.& c.black	a.& c.black	1	1931	1931	1931	1931	a.& c.black	""
a.& p.mietens	a.& p.mietens	3	1931	1937	1931	1937	a.& p.mietens	""
a.aan	a.aan	1	2015	2015	2015	2015	a.aan	""
a.aarik	a.aarik	1	2013	2013	2013	2013	a.aarik	""
a.aarniste	a.aarniste	2	2002	2005	2002	2005	a.aarniste	""
a.aas	a.aas	1	2016	2016	2016	2016	a.aas	""
a.aasa koduülikool	a.aasa koduülikool	49	1935	1940	1935	1940	a.aasa koduülikool	""
a.abel	a.abel	2	1949	1961	1949	1961	a.abel	""
a.adler	a.adler	1	2003	2003	2003	2003	a.adler	""
a.agrov	a.agrov	1	2007	2007	2007	2007	a.agrov	""
a.aho	a.aho	1	2014	2014	2014	2014	a.aho	""
a.ainelo	a.ainelo	1	2008	2008	2008	2008	a.ainelo	""
a.aint	a.aint	1	1877	1877	1877	1877	a.aint	""
a.ajang ja e.nõges	a.ajang ja e.nõges	1	1936	1936	1936	1936	a.ajang ja e.nõges	""
a.alavainu	a.alavainu	4	1995	2011	1995	2011	a.alavainu	""
a.alender	a.alender	1	1923	1923	1923	1923	a.alender	""
a.angerjas	a.angerjas	2	1935	1940	1935	1940	a.angerjas	""
a.anier	a.anier	1	2012	2012	2012	2012	a.anier	""
a.anmann	a.anmann	5	2007	2012	2007	2012	a.anmann	""
a.anni a.kivikas o.loorits	a.anni a.kivikas o.loorits	1	1928	1928	1928	1928	a.anni a.kivikas o.loorits	""
a.annist	a.annist	2	1937	1939	1937	1939	a.annist	""
a.annuk	a.annuk	1	1932	1932	1932	1932	a.annuk	""
a.annuk'i raamatukauplus	a.annuk'i raamatukauplus	1	1930	1930	1930	1930	a.annuk'i raamatukauplus	""
a.annus	a.annus	5	1924	1925	1924	1925	a.annus	""
a.annus (garris)	a.annus (garris)	1	1926	1926	1926	1926	a.annus (garris)	""
a.anton	a.anton	1	2006	2006	2006	2006	a.anton	""
a.antsov	a.antsov	14	2007	2019	2007	2019	a.antsov	""
a.arjupin	a.arjupin	1	2006	2006	2006	2006	a.arjupin	""
a.armas	a.armas	1	1936	1936	1936	1936	a.armas	""
a.arndt	a.arndt	3	2017	2018	2017	2018	a.arndt	""
a.arndt :	a.arndt :	3	2018	2018	2018	2018	a.arndt :	""
a.artemjeva	a.artemjeva	1	2015	2015	2015	2015	a.artemjeva	""
a.arukuusk	a.arukuusk	1	2006	2006	2006	2006	a.arukuusk	""
a.arula	a.arula	9	2013	2018	2013	2018	a.arula	""
a.asher	a.asher	1	1888	1888	1888	1888	a.asher	""
a.auksmann	a.auksmann	1	1923	1923	1923	1923	a.auksmann	""
a.aus	a.aus	1	2002	2002	2002	2002	a.aus	""
a.avik	a.avik	1	1934	1934	1934	1934	a.avik	""
a.bender	a.bender	2	2010	2015	2010	2015	a.bender	""
a.birkhan	a.birkhan	7	1908	1910	1908	1910	a.birkhan	""
a.brandes	a.brandes	1	1842	1842	1842	1842	a.brandes	""
a.brandis	a.brandis	1	1912	1912	1912	1912	a.brandis	""
a.brandmann	a.brandmann	2	1899	1900	1899	1900	a.brandmann	""
a.brandt	a.brandt	16	1891	1900	1891	1900	a.brandt	""
a.brandt?	a.brandt?	1	1901	1901	1901	1901	a.brandt?	""
a.buldas	a.buldas	18	1932	1940	1932	1940	a.buldas	""
a.busch	a.busch	63	1887	1921	1887	1921	a.busch	""
a.büll	a.büll	3	1928	1936	1928	1936	a.büll	""
a.c.kluge	a.c.kluge	1	1838	1838	1838	1838	a.c.kluge	""
a.danzigeri wärwimise ja keemilise puhastamise wabrik	a.danzigeri wärwimise ja keemilise puhastamise wabrik	1	1909	1909	1909	1909	a.danzigeri wärwimise ja keemilise puhastamise wabrik	""
a.deichert	a.deichert	2	1895	1900	1895	1900	a.deichert	""
a.deichert (g.böhme)	a.deichert (g.böhme)	2	1896	1904	1896	1904	a.deichert (g.böhme)	""
a.deichert (georg böhme)	a.deichert (georg böhme)	1	1895	1895	1895	1895	a.deichert (georg böhme)	""
a.deichert'sche verlagsbuchhandlung (georg böhme)	a.deichert'sche verlagsbuchhandlung (georg böhme)	1	1903	1903	1903	1903	a.deichert'sche verlagsbuchhandlung (georg böhme)	""
a.demenkov	a.demenkov	1	2014	2014	2014	2014	a.demenkov	""
a.deubner	a.deubner	2	1883	1889	1883	1889	a.deubner	""
a.devis	a.devis	1	1929	1929	1929	1929	a.devis	""
a.domanin	a.domanin	2	2017	2017	2017	2017	a.domanin	""
a.duvin	a.duvin	1	2008	2008	2008	2008	a.duvin	""
a.e.brandt	a.e.brandt	18	1880	1890	1880	1890	a.e.brandt	""
a.e.känd	a.e.känd	1	2016	2016	2016	2016	a.e.känd	""
a.e.susi	a.e.susi	3	2001	2006	2001	2006	a.e.susi	""
a.eenpalu	a.eenpalu	2	2012	2013	2012	2013	a.eenpalu	""
a.eerik	a.eerik	1	1936	1936	1936	1936	a.eerik	""
a.eero	a.eero	1	1941	1941	1941	1941	a.eero	""
a.eha	a.eha	1	2017	2017	2017	2017	a.eha	""
a.ehin ja f.kask	a.ehin ja f.kask	1	1936	1936	1936	1936	a.ehin ja f.kask	""
a.ehin jt.	a.ehin jt.	2	1937	1940	1937	1940	a.ehin jt.	""
a.eilart :	a.eilart :	1	2013	2013	2013	2013	a.eilart :	""
a.ein	a.ein	1	1932	1932	1932	1932	a.ein	""
a.einpaul	a.einpaul	1	1926	1926	1926	1926	a.einpaul	""
a.eist	a.eist	1	1995	1995	1995	1995	a.eist	""
a.ekbaum	a.ekbaum	1	1927	1927	1927	1927	a.ekbaum	""
a.elbe	a.elbe	1	1936	1936	1936	1936	a.elbe	""
a.elken	a.elken	1	2001	2001	2001	2001	a.elken	""
a.ellmann	a.ellmann	1	1933	1933	1933	1933	a.ellmann	""
a.elwe oja	a.elwe oja	1	2016	2016	2016	2016	a.elwe oja	""
a.ermast	a.ermast	1	2008	2008	2008	2008	a.ermast	""
a.erme	a.erme	2	2018	2018	2018	2018	a.erme	""
a.ervart	a.ervart	1	1936	1936	1936	1936	a.ervart	""
a.esperego	a.esperego	1	1994	1994	1994	1994	a.esperego	""
a.everaus	a.everaus	3	2007	2008	2007	2008	a.everaus	""
a.f.brandt	a.f.brandt	1	1881	1881	1881	1881	a.f.brandt	""
a.f.böhme	a.f.böhme	2	1779	1779	1779	1779	a.f.böhme	""
a.f.schütz	a.f.schütz	2	1814	1818	1814	1818	a.f.schütz	""
a.ferber	a.ferber	1	1578	1578	1578	1578	a.ferber	""
a.færøy	a.færøy	1	1993	1993	1993	1993	a.færøy	""
a.garris;	a.garris;	1	1925	1925	1925	1925	a.garris;	""
a.georgi	a.georgi	1	1898	1898	1898	1898	a.georgi	""
a.ginemann	a.ginemann	9	1888	1912	1888	1912	a.ginemann	""
a.glass	a.glass	1	1925	1925	1925	1925	a.glass	""
a.golubenko	a.golubenko	1	2010	2010	2010	2010	a.golubenko	""
a.graf	a.graf	1	1935	1935	1935	1935	a.graf	""
a.grauen ja v.alver	a.grauen ja v.alver	1	1936	1936	1936	1936	a.grauen ja v.alver	""
a.gregor	a.gregor	1	1931	1931	1931	1931	a.gregor	""
a.grenzstein	a.grenzstein	26	1883	1911	1883	1911	a.grenzstein	""
a.grigorjev	a.grigorjev	1	1888	1888	1888	1888	a.grigorjev	""
a.grosset	a.grosset	1	1906	1906	1906	1906	a.grosset	""
a.gulbis	a.gulbis	1	1938	1938	1938	1938	a.gulbis	""
a.h.leinbock	a.h.leinbock	1	1903	1903	1903	1903	a.h.leinbock	""
a.h.lindfors	a.h.lindfors	103	1770	1850	1770	1850	a.h.lindfors	""
a.h.lindfors?	a.h.lindfors?	2	1776	1778	1776	1778	a.h.lindfors?	""
a.h.linsdors	a.h.linsdors	1	1783	1783	1783	1783	a.h.linsdors	""
a.h.tammsaare muuseum	a.h.tammsaare muuseum	2	1964	2008	1964	2008	a.h.tammsaare muuseum	""
a.h.tammsaare muuseum ;	a.h.tammsaare muuseum ;	1	2014	2014	2014	2014	a.h.tammsaare muuseum ;	""
a.h.tammsaare muuseum vargamäel	a.h.tammsaare muuseum vargamäel	2	2004	2011	2004	2011	a.h.tammsaare muuseum vargamäel	""
a.haamer	a.haamer	1	2006	2006	2006	2006	a.haamer	""
a.haas	a.haas	1	2014	2014	2014	2014	a.haas	""
a.haava	a.haava	1	1923	1923	1923	1923	a.haava	""
a.hakelmann	a.hakelmann	1	1651	1651	1651	1651	a.hakelmann	""
a.hallik konnula	a.hallik konnula	2	2003	2008	2003	2008	a.hallik konnula	""
a.hasselqwist	a.hasselqwist	1	1680	1680	1680	1680	a.hasselqwist	""
a.haug	a.haug	2	2008	2013	2008	2013	a.haug	""
a.heidmets	a.heidmets	1	2018	2018	2018	2018	a.heidmets	""
a.heintalu	a.heintalu	3	2001	2003	2001	2003	a.heintalu	""
a.heinvee	a.heinvee	1	2001	2001	2001	2001	a.heinvee	""
a.herman	a.herman	1	1935	1935	1935	1935	a.herman	""
a.hirschwald	a.hirschwald	1	1862	1862	1862	1862	a.hirschwald	""
a.hoffmann & co.	a.hoffmann & co.	1	1928	1928	1928	1928	a.hoffmann & co.	""
a.härm	a.härm	2	1940	2009	1940	2009	a.härm	""
a.härma	a.härma	1	1938	1938	1938	1938	a.härma	""
a.hünefeld	a.hünefeld	1	1643	1643	1643	1643	a.hünefeld	""
a.iilane	a.iilane	1	2005	2005	2005	2005	a.iilane	""
a.illi	a.illi	1	1938	1938	1938	1938	a.illi	""
a.ilves	a.ilves	1	2001	2001	2001	2001	a.ilves	""
a.ilves :	a.ilves :	1	2009	2009	2009	2009	a.ilves :	""
a.ingelman	a.ingelmann	1	1935	1935	1935	1935	a.ingelmann	""
a.ingelmann	a.ingelmann	6	1935	1935	1935	1935	a.ingelmann	""
a.isak	a.isak	3	1994	2000	1994	2000	a.isak	""
a.ivask	a.ivask	1	1940	1940	1940	1940	a.ivask	""
a.ivtšenko	a.ivtšenko	1	2014	2014	2014	2014	a.ivtšenko	""
a.j.kure rmtkpl.	a.j.kure rmtkpl.	2	1906	1906	1906	1906	a.j.kure rmtkpl.	""
a.j.plukk	a.j.plukk	1	1903	1903	1903	1903	a.j.plukk	""
a.j.ratas	a.j.ratas	1	1907	1907	1907	1907	a.j.ratas	""
a.j.schubbe	a.j.schubbe	1	1808	1808	1808	1808	a.j.schubbe	""
a.ja j.järv	a.ja j.järv	6	1889	1890	1889	1890	a.ja j.järv	""
a.ja j.oit	a.ja j.oit	2	1900	1901	1900	1901	a.ja j.oit	""
a.ja k.elken	a.ja k.elken	2	2000	2000	2000	2000	a.ja k.elken	""
a.jalakas	a.jalakas	1	1902	1902	1902	1902	a.jalakas	""
a.jauniškyté	a.jauniškyté	1	2007	2007	2007	2007	a.jauniškyté	""
a.jegikjan	a.jegikjan	3	2015	2016	2015	2016	a.jegikjan	""
a.jelisejeva	a.jelisejeva	1	2006	2006	2006	2006	a.jelisejeva	""
a.joandi	a.joandi	3	2007	2011	2007	2011	a.joandi	""
a.jugaste	a.jugaste	1	2017	2017	2017	2017	a.jugaste	""
a.jung	a.jung	1	1939	1939	1939	1939	a.jung	""
a.jurin	a.jurin	7	1997	2009	1997	2009	a.jurin	""
a.juske	a.juske	18	1997	2012	1997	2012	a.juske	""
a.jäe	a.jäe	1	1998	1998	1998	1998	a.jäe	""
a.jänes	a.jänes	1	2016	2016	2016	2016	a.jänes	""
a.järv	a.järv	2	1897	1897	1897	1897	a.järv	""
a.järve	a.järve	5	2015	2018	2015	2018	a.järve	""
a.järvesoo	a.järvesoo	1	2000	2000	2000	2000	a.järvesoo	""
a.järvpõld	a.järvpõld	1	2008	2008	2008	2008	a.järvpõld	""
a.jõeäär	a.jõeäär	2	1929	1934	1929	1934	a.jõeäär	""
a.jõgi	a.jõgi	1	2010	2010	2010	2010	a.jõgi	""
a.jõks	a.jõks	1	2002	2002	2002	2002	a.jõks	""
a.jürgens	a.jürgens	2	1935	1938	1935	1938	a.jürgens	""
a.kaarna	a.kaarna	2	1913	1914	1913	1914	a.kaarna	""
a.kaarna raamatukauplus	a.kaarna raamatukauplus	1	1913	1913	1913	1913	a.kaarna raamatukauplus	""
a.kaasik	a.kaasik	2	2006	2009	2006	2009	a.kaasik	""
a.kabe	a.kabe	1	1987	1987	1987	1987	a.kabe	""
a.kabin	a.kabin	1	1934	1934	1934	1934	a.kabin	""
a.kabun	a.kabun	1	2008	2008	2008	2008	a.kabun	""
a.kadaja	a.kadaja	1	1940	1940	1940	1940	a.kadaja	""
a.kadaksoo	a.kadaksoo	3	1936	1937	1936	1937	a.kadaksoo	""
a.kaera ja l.volmer	a.kaera ja l.volmer	2	1935	1937	1935	1937	a.kaera ja l.volmer	""
a.kahn	a.kahn	2	1938	1940	1938	1940	a.kahn	""
a.kahro	a.kahro	4	1995	2004	1995	2004	a.kahro	""
a.kaldoja	a.kaldoja	1	2016	2016	2016	2016	a.kaldoja	""
a.kalkun	a.kalkun	3	2001	2004	2001	2004	a.kalkun	""
a.kallas	a.kallas	6	1994	1998	1994	1998	a.kallas	""
a.kalmus	a.kalmus	2	1936	1939	1936	1939	a.kalmus	""
a.kalmus v.issako	a.kalmus v.issako	1	1937	1937	1937	1937	a.kalmus v.issako	""
a.kals	a.kals	2	1995	2018	1995	2018	a.kals	""
a.kandi	a.kandi	1	1984	1984	1984	1984	a.kandi	""
a.kangro	a.kangro	1	1930	1930	1930	1930	a.kangro	""
